,Component,Waiting,Interpolation,Sending

132300,0.230,0.000,0.002,0.000

135000,0.234,0.000,0.002,0.000

137700,0.233,0.000,0.001,0.000

140400,0.404,0.000,0.002,0.000

143100,0.230,0.000,0.003,0.000

145800,0.231,0.000,0.002,0.000

148500,0.228,0.000,0.016,0.000

151200,0.559,0.014,0.001,0.000

153900,0.226,0.000,0.071,0.000

156600,0.232,0.000,0.021,0.000

159300,0.226,0.000,0.002,0.000

162000,0.396,0.000,0.002,0.000

164700,0.227,0.000,0.046,0.000

167400,0.230,0.000,0.002,0.000

170100,0.234,0.000,0.002,0.000

172800,0.463,0.000,0.001,0.000

175500,0.232,0.000,0.001,0.000

178200,0.231,0.000,0.002,0.000

180900,0.228,0.000,0.002,0.000

183600,0.396,0.000,0.002,0.000

186300,0.225,0.000,0.002,0.000

189000,0.229,0.000,0.002,0.000

191700,0.225,0.000,0.001,0.000

194400,0.463,0.000,0.001,0.000

197100,0.225,0.000,0.002,0.000

199800,0.230,0.000,0.002,0.000

202500,0.230,0.000,0.007,0.000

205200,0.418,0.000,0.002,0.000

207900,0.229,0.000,0.002,0.000

210600,0.231,0.000,0.002,0.000

213300,0.231,0.000,0.016,0.000

216000,0.570,0.000,0.001,0.000

218700,0.231,0.000,0.001,0.000

221400,0.234,0.000,0.002,0.000

224100,0.231,0.000,0.002,0.000

226800,0.403,0.000,0.002,0.000

229500,0.232,0.000,0.002,0.000

232200,0.231,0.000,0.002,0.000

234900,0.228,0.000,0.002,0.000

237600,0.467,0.000,0.001,0.000

240300,0.229,0.000,0.002,0.000

243000,0.230,0.000,0.003,0.000

245700,0.237,0.001,0.001,0.000

248400,0.398,0.022,0.005,0.000

251100,0.227,0.000,0.002,0.000

253800,0.229,0.000,0.005,0.000

256500,0.230,0.047,0.002,0.000

259200,0.469,0.000,0.004,0.000

261900,0.227,0.000,0.002,0.000

264600,0.229,0.002,0.001,0.000

267300,0.228,0.003,0.002,0.000

270000,0.454,0.007,0.094,0.000

272700,0.268,0.000,0.002,0.000

275400,0.228,0.000,0.002,0.000

278100,0.236,0.000,0.005,0.000

280800,0.461,0.000,0.001,0.000

283500,0.228,0.000,0.006,0.000

286200,0.231,0.000,0.003,0.000

