,Component,Waiting,Interpolation,Sending
24300,0.302,0.000,0.002,0.000
27000,0.387,0.090,0.002,0.000
29700,0.379,0.006,0.002,0.000
32400,0.635,0.022,0.002,0.000
35100,0.304,0.000,0.002,0.000
37800,0.310,0.088,0.002,0.000
40500,0.305,0.080,0.004,0.000
43200,0.829,0.096,0.002,0.000
45900,0.312,0.000,0.324,0.000
48600,0.319,0.000,0.002,0.000
51300,0.316,0.073,0.002,0.000
54000,0.561,0.051,0.002,0.000
56700,0.315,0.000,0.002,0.000
59400,0.316,0.072,0.002,0.000
62100,0.348,0.070,0.002,0.000
64800,0.796,0.021,0.005,0.000
67500,0.312,0.000,0.004,0.000
70200,0.321,0.090,0.002,0.000
72900,0.381,0.065,0.002,0.000
75600,0.556,0.000,0.002,0.000
78300,0.309,0.000,0.002,0.000
81000,0.311,0.085,0.002,0.000
83700,0.305,0.064,0.002,0.000
86400,1.003,0.051,0.001,0.000
89100,0.380,0.000,0.005,0.000
91800,0.308,0.042,0.002,0.000
94500,0.305,0.061,0.004,0.000
97200,0.555,0.070,0.003,0.000
99900,0.306,0.000,0.003,0.000
102600,0.387,0.089,0.002,0.000
105300,0.380,0.000,0.002,0.000
108000,0.706,0.009,0.001,0.000
110700,0.309,0.000,0.002,0.000
113400,0.311,0.093,0.002,0.000
116100,0.306,0.072,0.002,0.000
118800,0.638,0.071,0.002,0.000
121500,0.376,0.000,0.002,0.000
124200,0.309,0.013,0.002,0.000
126900,0.308,0.089,0.005,0.000
129600,0.751,0.087,0.001,0.000
132300,0.317,0.000,0.002,0.000
135000,0.320,0.077,0.002,0.000
137700,0.317,0.062,0.002,0.000
140400,0.622,0.056,0.041,0.000
143100,0.484,0.000,0.002,0.000
145800,0.317,0.000,0.003,0.000
148500,0.366,0.074,0.002,0.000
151200,0.924,0.004,0.001,0.000
153900,0.308,0.000,0.002,0.000
156600,0.313,0.081,0.002,0.000
159300,0.372,0.072,0.002,0.000
162000,0.615,0.000,0.002,0.000
164700,0.305,0.000,0.002,0.000
167400,0.387,0.080,0.002,0.000
170100,0.305,0.000,0.002,0.000
172800,0.844,0.453,0.001,0.000
175500,0.307,0.000,0.002,0.000
178200,0.421,0.081,0.002,0.000
180900,0.363,0.000,0.002,0.000
183600,0.577,0.023,0.002,0.000
186300,0.309,0.000,0.002,0.000
189000,0.374,0.079,0.002,0.000
191700,0.365,0.000,0.002,0.000
194400,0.698,0.032,0.001,0.000
197100,0.369,0.000,0.003,0.000
199800,0.343,0.020,0.002,0.000
202500,0.312,0.048,0.003,0.000
205200,0.628,0.071,0.004,0.000
207900,0.312,0.000,0.002,0.000
210600,0.386,0.078,0.002,0.000
213300,0.306,0.000,0.002,0.000
216000,0.772,0.088,0.001,0.000
218700,0.313,0.000,0.004,0.000
221400,0.381,0.086,0.002,0.000
224100,0.317,0.000,0.002,0.000
226800,0.562,0.072,0.002,0.000
229500,0.317,0.000,0.002,0.000
232200,0.322,0.082,0.004,0.000
234900,0.313,0.042,0.002,0.000
237600,0.929,0.055,0.001,0.000
240300,0.360,0.000,0.002,0.000
243000,0.369,0.043,0.002,0.000
245700,0.308,0.000,0.002,0.000
248400,0.582,0.082,0.002,0.000
251100,0.309,0.000,0.002,0.000
253800,0.376,0.081,0.002,0.000
256500,0.309,0.003,0.002,0.000
259200,0.775,0.380,0.001,0.000
261900,0.310,0.000,0.002,0.000
264600,0.314,0.085,0.002,0.000
267300,0.372,0.054,0.002,0.000
270000,0.558,0.000,0.002,0.000
272700,0.306,0.000,0.002,0.000
275400,0.311,0.080,0.002,0.000
278100,0.304,0.065,0.002,0.000
280800,0.737,0.065,0.001,0.000
283500,0.358,0.000,0.002,0.000
286200,0.312,0.028,0.002,0.000
288900,0.357,0.100,0.002,0.000
291600,0.578,0.012,0.002,0.000
294300,0.310,0.000,0.002,0.000
297000,0.318,0.080,0.002,0.000
299700,0.312,0.051,0.002,0.000
302400,0.863,0.071,0.001,0.000
305100,0.308,0.000,0.002,0.000
307800,0.318,0.122,0.002,0.000
310500,0.509,0.050,0.002,0.000
313200,0.583,0.097,0.002,0.000
315900,0.332,0.000,0.002,0.000
318600,0.323,0.055,0.003,0.000
321300,0.319,0.050,0.002,0.000
324000,0.763,0.085,0.001,0.000
326700,0.315,0.000,0.005,0.000
329400,0.316,0.081,0.003,0.000
332100,0.312,0.050,0.003,0.000
334800,0.607,0.068,0.002,0.000
337500,0.313,0.000,0.002,0.000
340200,0.375,0.120,0.002,0.000
342900,0.316,0.000,0.002,0.000
345600,0.773,0.439,0.001,0.000
348300,0.310,0.000,0.002,0.000
351000,0.313,0.077,0.002,0.000
353700,0.368,0.059,0.002,0.000
356400,0.569,0.016,0.006,0.000
359100,0.302,0.000,0.003,0.000
361800,0.310,0.098,0.002,0.000
364500,0.305,0.069,0.002,0.000
367200,,,,
