,Component,Waiting,Interpolation,Sending
12600,0.000,0.000,0.098,0.001
13500,2.349,1.078,0.000,0.000
15300,0.000,0.000,0.005,0.001
16200,2.413,1.137,0.000,0.000
18000,0.000,0.000,0.008,0.001
18900,1.987,0.969,0.000,0.000
20700,0.001,0.000,0.005,0.001
21600,2.687,1.404,0.000,0.000
23400,0.000,0.000,0.004,0.001
24300,2.365,0.695,0.000,0.000
26100,0.000,0.000,0.005,0.001
27000,2.386,0.948,0.000,0.000
28800,0.000,0.000,0.005,0.001
29700,1.991,0.938,0.000,0.000
31500,0.001,0.000,0.007,0.001
32400,2.399,1.324,0.000,0.000
34200,0.000,0.000,0.005,0.001
35100,2.535,0.949,0.000,0.000
36900,0.000,0.000,0.004,0.001
37800,2.399,1.150,0.000,0.000
39600,0.000,0.000,0.004,0.001
40500,1.922,0.883,0.000,0.000
42300,0.001,0.000,0.005,0.001
43200,2.713,1.376,0.000,0.000
45000,0.000,0.000,0.005,0.001
45900,2.477,0.614,0.000,0.000
47700,0.000,0.000,0.005,0.001
48600,2.324,0.855,0.000,0.000
50400,0.000,0.000,0.005,0.001
51300,2.008,0.983,0.000,0.000
53100,0.001,0.000,0.005,0.001
54000,2.434,1.446,0.000,0.000
55800,0.000,0.000,0.005,0.001
56700,2.395,0.853,0.000,0.000
58500,0.000,0.000,0.005,0.001
59400,2.672,0.931,0.000,0.000
61200,0.000,0.000,0.005,0.001
62100,1.877,0.889,0.000,0.000
63900,0.001,0.000,0.006,0.001
64800,2.669,1.488,0.000,0.000
66600,0.000,0.000,0.004,0.001
67500,2.380,0.799,0.000,0.000
69300,0.000,0.000,0.005,0.001
70200,2.489,0.991,0.000,0.000
72000,0.000,0.000,0.004,0.001
72900,2.060,0.867,0.000,0.000
74700,0.001,0.000,0.006,0.001
75600,2.400,1.235,0.000,0.000
77400,0.000,0.000,0.008,0.001
78300,2.347,0.911,0.000,0.000
80100,0.000,0.000,0.005,0.001
81000,2.240,0.957,0.000,0.000
82800,0.000,0.000,0.008,0.001
83700,2.174,1.115,0.000,0.000
85500,0.001,0.000,0.005,0.001
86400,2.746,1.349,0.000,0.000
88200,0.000,0.000,0.006,0.001
89100,2.362,0.572,0.000,0.000
90900,0.000,0.000,0.005,0.001
91800,2.329,0.967,0.000,0.000
93600,0.000,0.000,0.006,0.001
94500,2.134,1.029,0.000,0.000
96300,0.001,0.000,0.005,0.001
97200,2.450,1.217,0.000,0.000
99000,0.000,0.000,0.005,0.001
99900,2.341,0.872,0.000,0.000
101700,0.000,0.000,0.005,0.001
102600,2.421,1.033,0.000,0.000
104400,0.000,0.000,0.005,0.001
105300,1.901,0.960,0.000,0.000
107100,0.001,0.000,0.006,0.001
108000,2.751,1.497,0.000,0.000
109800,0.000,0.000,0.005,0.001
110700,2.443,0.845,0.000,0.000
112500,0.000,0.000,0.005,0.001
113400,2.298,0.960,0.000,0.000
115200,0.000,0.000,0.034,0.001
116100,2.179,0.998,0.000,0.000
117900,0.001,0.000,0.005,0.001
118800,2.370,1.233,0.000,0.000
120600,0.000,0.000,0.006,0.001
121500,2.370,0.924,0.000,0.000
123300,0.000,0.000,0.005,0.001
124200,2.451,0.915,0.000,0.000
126000,0.000,0.000,0.005,0.001
126900,2.163,0.880,0.000,0.000
128700,0.001,0.000,0.004,0.001
129600,2.658,1.125,0.000,0.000
131400,0.000,0.000,0.005,0.001
132300,2.918,0.723,0.000,0.000
134100,0.000,0.000,0.005,0.001
135000,2.458,0.589,0.000,0.000
136800,0.000,0.000,0.005,0.001
137700,2.071,0.865,0.000,0.000
139500,0.001,0.000,0.005,0.001
140400,2.435,1.276,0.000,0.000
142200,0.000,0.000,0.007,0.001
143100,2.446,0.874,0.000,0.000
144900,0.000,0.000,0.005,0.001
145800,2.505,0.874,0.000,0.000
147600,0.000,0.000,0.169,0.001
148500,2.127,0.653,0.000,0.000
150300,0.001,0.000,0.005,0.001
151200,2.532,1.283,0.000,0.000
153000,0.000,0.000,0.004,0.001
153900,2.412,0.844,0.000,0.000
155700,0.000,0.000,0.091,0.001
156600,2.270,1.360,0.000,0.000
158400,0.000,0.000,0.007,0.001
159300,2.046,1.107,0.000,0.000
161100,0.001,0.000,0.007,0.001
162000,2.513,1.347,0.000,0.000
163800,0.000,0.000,0.007,0.001
164700,2.419,0.815,0.000,0.000
166500,0.000,0.000,0.005,0.001
167400,2.425,0.954,0.000,0.000
169200,0.000,0.000,0.004,0.001
170100,2.112,0.845,0.000,0.000
171900,0.001,0.000,0.005,0.001
172800,2.751,1.246,0.000,0.000
174600,0.000,0.000,0.005,0.001
175500,2.580,0.538,0.000,0.000
177300,0.000,0.000,0.004,0.001
178200,2.355,0.734,0.000,0.000
180000,0.000,0.000,0.004,0.001
180900,2.045,1.298,0.000,0.000
182700,0.001,0.000,0.005,0.001
183600,,,,
