,Component,Waiting,Interpolation,Sending
132300,0.162,0.375,0.000,0.000
135000,0.174,0.107,0.000,0.000
137700,0.185,0.099,0.000,0.000
140400,0.182,0.084,0.000,0.000
143100,0.166,0.286,0.000,0.000
145800,0.163,0.100,0.000,0.000
148500,0.165,0.105,0.000,0.000
151200,0.159,0.101,0.000,0.000
153900,0.158,0.417,0.000,0.000
156600,0.164,0.102,0.000,0.000
159300,0.158,0.100,0.000,0.000
162000,0.157,0.103,0.000,0.000
164700,0.166,0.298,0.000,0.000
167400,0.158,0.095,0.000,0.000
170100,0.191,0.113,0.000,0.000
172800,0.161,0.100,0.000,0.000
175500,0.161,0.370,0.000,0.000
178200,0.163,0.099,0.000,0.000
180900,0.161,0.107,0.000,0.000
183600,0.160,0.100,0.000,0.000
186300,0.195,0.277,0.000,0.000
189000,0.166,0.088,0.000,0.000
191700,0.159,0.100,0.000,0.000
194400,0.164,0.101,0.000,0.000
197100,0.173,0.370,0.000,0.000
199800,0.197,0.062,0.000,0.000
202500,0.161,0.095,0.000,0.000
205200,0.225,0.181,0.000,0.000
207900,0.162,0.298,0.000,0.000
210600,0.165,0.107,0.000,0.000
213300,0.162,0.106,0.000,0.000
216000,0.189,0.079,0.000,0.000
218700,0.165,0.503,0.000,0.000
221400,0.164,0.103,0.000,0.000
224100,0.164,0.110,0.000,0.000
226800,0.161,0.107,0.000,0.000
229500,0.164,0.309,0.000,0.000
232200,0.164,0.106,0.000,0.000
234900,0.169,0.107,0.000,0.000
237600,0.174,0.095,0.000,0.000
240300,0.174,0.358,0.000,0.000
243000,0.172,0.093,0.000,0.000
245700,0.170,0.098,0.000,0.000
248400,0.158,0.098,0.000,0.000
251100,0.163,0.301,0.000,0.000
253800,0.206,0.199,0.000,0.000
256500,0.164,0.134,0.000,0.000
259200,0.164,0.095,0.000,0.000
261900,0.159,0.369,0.000,0.000
264600,0.160,0.107,0.000,0.000
267300,0.173,0.101,0.000,0.000
270000,0.168,0.096,0.000,0.000
272700,0.164,0.296,0.000,0.000
275400,0.164,0.096,0.000,0.000
278100,0.167,0.107,0.000,0.000
280800,0.160,0.093,0.000,0.000
283500,0.159,0.378,0.000,0.000
286200,0.175,0.102,0.000,0.000
288900,0.165,0.105,0.000,0.000
291600,0.163,0.105,0.000,0.000
294300,0.160,0.307,0.000,0.000
297000,0.163,0.109,0.000,0.000
299700,0.162,0.109,0.000,0.000
302400,0.169,0.100,0.000,0.000
305100,0.159,0.431,0.000,0.000
307800,0.166,0.110,0.000,0.000
310500,0.164,0.110,0.000,0.000
313200,0.161,0.105,0.000,0.000
315900,0.165,0.305,0.000,0.000
318600,0.166,0.100,0.000,0.000
321300,0.159,0.102,0.000,0.000
324000,0.160,0.103,0.000,0.000
326700,0.162,0.367,0.000,0.000
329400,0.165,0.099,0.000,0.000
332100,0.175,0.100,0.000,0.000
334800,0.160,0.091,0.000,0.000
337500,0.163,0.299,0.000,0.000
340200,0.159,0.099,0.000,0.000
342900,0.158,0.107,0.000,0.000
345600,0.163,0.105,0.000,0.000
348300,0.166,0.362,0.000,0.000
351000,0.167,0.096,0.000,0.000
353700,0.160,0.100,0.000,0.000
356400,0.162,0.103,0.000,0.000
359100,0.168,0.297,0.000,0.000
361800,0.161,0.093,0.000,0.000
364500,0.167,0.104,0.000,0.000
367200,0.178,0.090,0.000,0.000
369900,0.166,0.420,0.000,0.000
372600,0.172,0.098,0.000,0.000
375300,0.173,0.099,0.000,0.000
378000,0.163,0.089,0.000,0.000
380700,0.162,0.296,0.000,0.000
383400,0.165,0.107,0.000,0.000
386100,0.160,0.101,0.000,0.000
388800,0.165,0.100,0.000,0.000
391500,0.163,0.376,0.000,0.000
394200,0.159,0.104,0.000,0.000
396900,0.164,0.110,0.000,0.000
399600,0.164,0.106,0.000,0.000
402300,0.160,0.303,0.000,0.000
405000,0.164,0.116,0.000,0.000
407700,0.171,0.103,0.000,0.000
410400,0.171,0.094,0.000,0.000
413100,0.166,0.362,0.000,0.000
415800,0.161,0.096,0.000,0.000
418500,0.170,0.107,0.000,0.000
421200,0.162,0.096,0.000,0.000
423900,0.160,0.303,0.000,0.000
426600,0.170,0.104,0.000,0.000
429300,0.161,0.101,0.000,0.000
432000,0.162,0.105,0.000,0.000
434700,0.160,0.496,0.000,0.000
437400,0.165,0.102,0.000,0.000
440100,0.166,0.106,0.000,0.000
442800,0.166,0.098,0.000,0.000
445500,0.160,0.295,0.000,0.000
448200,0.168,0.103,0.000,0.000
450900,0.167,0.098,0.000,0.000
453600,0.163,0.090,0.000,0.000
456300,0.160,0.377,0.000,0.000
459000,0.161,0.101,0.000,0.000
461700,0.164,0.102,0.000,0.000
464400,0.159,0.099,0.000,0.000
467100,0.160,0.310,0.000,0.000
469800,0.167,0.100,0.000,0.000
472500,0.165,0.104,0.000,0.000
475200,0.162,0.091,0.000,0.000
477900,0.165,0.380,0.000,0.000
480600,0.165,0.104,0.000,0.000
483300,0.168,0.110,0.000,0.000
486000,0.159,0.104,0.000,0.000
488700,0.165,0.313,0.000,0.000
491400,0.172,0.104,0.000,0.000
494100,0.163,0.097,0.000,0.000
496800,0.165,0.097,0.000,0.000
499500,0.174,0.536,0.000,0.000
502200,0.211,0.098,0.000,0.000
504900,0.179,0.056,0.000,0.000
507600,0.169,0.090,0.000,0.000
510300,0.166,0.290,0.000,0.000
513000,0.167,0.096,0.000,0.000
515700,0.169,0.100,0.000,0.000
518400,0.166,0.087,0.000,0.000
521100,0.177,0.468,0.000,0.000
523800,0.173,0.084,0.000,0.000
526500,0.173,0.093,0.000,0.000
529200,0.170,0.089,0.000,0.000
531900,0.165,0.288,0.000,0.000
534600,0.171,0.097,0.000,0.000
537300,0.172,0.094,0.000,0.000
540000,0.175,0.085,0.000,0.000
542700,0.177,0.349,0.000,0.000
545400,0.216,0.081,0.000,0.000
548100,0.188,0.058,0.000,0.000
550800,0.175,0.067,0.000,0.000
553500,0.173,0.284,0.000,0.000
556200,0.175,0.087,0.000,0.000
558900,0.166,0.097,0.000,0.000
561600,0.167,0.088,0.000,0.000
564300,0.173,0.365,0.000,0.000
567000,0.165,0.095,0.000,0.000
569700,0.165,0.124,0.000,0.000
572400,0.208,0.114,0.000,0.000
575100,0.171,0.266,0.000,0.000
577800,0.171,0.105,0.000,0.000
580500,0.169,0.104,0.001,0.000
583200,0.166,0.090,0.000,0.000
585900,0.171,0.414,0.000,0.000
588600,0.173,0.092,0.000,0.000
591300,0.166,0.095,0.000,0.000
594000,0.164,0.094,0.000,0.000
596700,0.172,0.297,0.000,0.000
599400,0.166,0.087,0.000,0.000
602100,0.170,0.095,0.000,0.000
604800,0.173,0.093,0.000,0.000
607500,0.167,0.359,0.000,0.000
610200,0.168,0.099,0.000,0.000
612900,0.207,0.101,0.000,0.000
615600,0.166,0.055,0.000,0.000
618300,0.168,0.294,0.000,0.000
621000,0.167,0.099,0.000,0.000
623700,0.167,0.100,0.000,0.000
626400,0.172,0.091,0.000,0.000
629100,0.172,0.352,0.000,0.000
631800,0.168,0.088,0.000,0.000
634500,0.171,0.097,0.000,0.000
637200,0.174,0.093,0.000,0.000
639900,0.167,0.295,0.000,0.000
642600,0.172,0.107,0.000,0.000
645300,0.174,0.102,0.000,0.000
648000,0.178,0.089,0.000,0.000
650700,0.167,0.466,0.000,0.000
653400,0.177,0.109,0.000,0.000
656100,0.168,0.107,0.000,0.000
658800,0.172,0.103,0.000,0.000
661500,0.171,0.299,0.000,0.000
664200,0.170,0.101,0.000,0.000
666900,0.172,0.098,0.000,0.000
669600,0.174,0.097,0.000,0.000
672300,0.168,0.367,0.000,0.000
675000,0.168,0.102,0.000,0.000
677700,0.172,0.101,0.000,0.000
680400,0.180,0.094,0.000,0.000
683100,0.170,0.281,0.000,0.000
685800,0.172,0.091,0.000,0.000
688500,0.176,0.093,0.000,0.000
691200,0.169,0.081,0.000,0.000
693900,0.167,0.377,0.000,0.000
696600,0.173,0.095,0.000,0.000
699300,0.172,0.099,0.000,0.000
702000,0.172,0.092,0.000,0.000
704700,0.168,0.290,0.000,0.000
707400,0.172,0.106,0.000,0.000
710100,0.170,0.091,0.000,0.000
712800,0.181,0.102,0.000,0.000
715500,0.172,0.351,0.000,0.000
718200,0.171,0.092,0.000,0.000
720900,0.175,0.097,0.000,0.000
723600,0.166,0.092,0.000,0.000
726300,0.173,0.302,0.000,0.000
729000,0.178,0.094,0.000,0.000
731700,0.174,0.091,0.000,0.000
734400,0.180,0.088,0.000,0.000
737100,0.173,0.422,0.000,0.000
739800,0.177,0.094,0.000,0.000
742500,0.175,0.098,0.000,0.000
745200,0.267,0.182,0.000,0.000
747900,0.170,0.301,0.000,0.000
750600,0.168,0.094,0.000,0.000
753300,0.172,0.101,0.000,0.000
756000,0.172,0.090,0.000,0.000
758700,0.172,0.357,0.000,0.000
761400,0.172,0.091,0.000,0.000
764100,0.172,0.094,0.000,0.000
766800,0.177,0.092,0.000,0.000
769500,0.175,0.284,0.000,0.000
772200,0.188,0.085,0.000,0.000
774900,0.183,0.074,0.000,0.000
777600,0.192,0.074,0.000,0.000
780300,0.172,0.344,0.000,0.000
783000,0.173,0.091,0.000,0.000
785700,0.176,0.096,0.000,0.000
788400,0.167,0.084,0.000,0.000
791100,0.172,0.294,0.000,0.000
793800,0.185,0.081,0.000,0.000
796500,0.169,0.092,0.000,0.000
799200,0.169,0.087,0.000,0.000
801900,0.170,0.437,0.000,0.000
804600,0.172,0.098,0.000,0.000
807300,0.172,0.099,0.000,0.000
810000,0.174,0.094,0.000,0.000
812700,0.172,0.292,0.000,0.000
815400,0.175,0.093,0.000,0.000
818100,0.185,0.097,0.000,0.000
