,Component,Waiting,Interpolation,Sending
132300,0.204,0.256,0.000,0.000
135000,0.194,0.029,0.000,0.000
137700,0.205,0.039,0.000,0.000
140400,0.201,0.032,0.000,0.000
143100,0.202,0.204,0.000,0.000
145800,0.203,0.030,0.000,0.000
148500,0.249,0.030,0.011,0.000
151200,0.214,0.000,0.000,0.000
153900,0.196,0.343,0.000,0.000
156600,0.225,0.096,0.000,0.000
159300,0.200,0.029,0.000,0.000
162000,0.204,0.030,0.001,0.000
164700,0.199,0.194,0.000,0.000
167400,0.225,0.044,0.000,0.000
170100,0.199,0.034,0.000,0.000
172800,0.198,0.031,0.000,0.000
175500,0.204,0.273,0.000,0.000
178200,0.201,0.030,0.000,0.000
180900,0.194,0.030,0.000,0.000
183600,0.193,0.035,0.000,0.000
186300,0.194,0.204,0.000,0.000
189000,0.198,0.033,0.000,0.000
191700,0.196,0.033,0.000,0.000
194400,0.198,0.023,0.000,0.000
197100,0.199,0.273,0.000,0.000
199800,0.195,0.028,0.000,0.000
202500,0.201,0.037,0.000,0.000
205200,0.212,0.032,0.000,0.000
207900,0.202,0.210,0.000,0.000
210600,0.196,0.028,0.000,0.000
213300,0.198,0.036,0.000,0.000
216000,0.200,0.037,0.000,0.000
218700,0.197,0.381,0.000,0.000
221400,0.206,0.035,0.000,0.000
224100,0.199,0.029,0.000,0.000
226800,0.198,0.032,0.000,0.000
229500,0.202,0.206,0.000,0.000
232200,0.196,0.031,0.000,0.000
234900,0.194,0.037,0.000,0.000
237600,0.194,0.028,0.000,0.000
240300,0.196,0.280,0.000,0.000
243000,0.217,0.033,0.001,0.000
245700,0.246,0.003,0.000,0.000
248400,0.198,0.000,0.000,0.000
251100,0.196,0.227,0.000,0.000
253800,0.282,0.007,0.000,0.000
256500,0.197,0.000,0.000,0.000
259200,0.199,0.053,0.000,0.000
261900,0.206,0.278,0.000,0.000
264600,0.209,0.024,0.000,0.000
267300,0.215,0.022,0.000,0.000
270000,0.196,0.015,0.000,0.000
