,Component,Waiting,Interpolation,Sending
24300,0.193,0.401,0.000,0.000
27000,0.191,0.000,0.000,0.000
29700,0.225,0.024,0.000,0.000
32400,0.186,0.000,0.000,0.000
35100,0.183,0.134,0.000,0.000
37800,0.186,0.041,0.000,0.000
40500,0.180,0.060,0.000,0.000
43200,0.185,0.020,0.000,0.000
45900,0.188,0.492,0.000,0.000
48600,0.177,0.006,0.000,0.000
51300,0.189,0.068,0.000,0.000
54000,0.184,0.031,0.000,0.000
56700,0.198,0.120,0.000,0.000
59400,0.183,0.004,0.000,0.000
62100,0.197,0.026,0.000,0.000
64800,0.184,0.000,0.000,0.000
67500,0.196,0.493,0.000,0.000
70200,0.204,0.000,0.000,0.000
72900,0.213,0.023,0.000,0.000
75600,0.203,0.000,0.000,0.000
78300,0.215,0.135,0.000,0.000
81000,0.197,0.008,0.000,0.000
83700,1.527,0.060,0.000,0.000
86400,0.181,0.000,0.000,0.000
89100,0.229,0.547,0.000,0.000
91800,0.182,0.000,0.000,0.000
94500,0.193,0.035,0.000,0.000
97200,0.182,0.000,0.000,0.000
99900,0.194,0.139,0.000,0.000
102600,0.221,0.041,0.000,0.000
105300,0.192,0.002,0.000,0.000
108000,0.176,0.014,0.000,0.000
110700,0.185,0.438,0.000,0.000
113400,0.187,0.018,0.000,0.000
116100,0.178,0.009,0.000,0.000
118800,0.188,0.051,0.000,0.000
121500,0.229,0.118,0.002,0.000
124200,0.976,0.000,0.000,0.000
126900,0.184,0.000,0.000,0.000
129600,0.179,0.075,0.000,0.000
132300,0.182,0.469,0.000,0.000
135000,0.186,0.013,0.000,0.000
137700,0.184,0.063,0.000,0.000
140400,0.191,0.010,0.000,0.000
143100,0.185,0.125,0.000,0.000
145800,0.193,0.014,0.000,0.000
148500,0.184,0.013,0.000,0.000
151200,0.215,0.050,0.001,0.000
153900,0.188,0.456,0.000,0.000
156600,0.186,0.010,0.000,0.000
159300,0.280,0.019,0.013,0.000
162000,0.192,0.000,0.000,0.000
164700,0.200,0.134,0.000,0.000
167400,0.197,0.000,0.000,0.000
170100,0.672,0.032,0.000,0.000
172800,0.189,0.000,0.000,0.000
175500,0.184,0.511,0.000,0.000
178200,0.179,0.061,0.000,0.000
180900,0.181,0.053,0.000,0.000
183600,0.187,0.048,0.000,0.000
186300,0.190,0.119,0.000,0.000
189000,0.178,0.012,0.000,0.000
191700,0.403,0.024,0.000,0.000
194400,0.178,0.016,0.000,0.000
197100,0.180,0.438,0.000,0.000
199800,0.184,0.034,0.000,0.000
202500,0.187,0.046,0.000,0.000
205200,0.189,0.006,0.000,0.000
207900,0.182,0.189,0.000,0.000
210600,0.190,0.013,0.000,0.000
213300,0.181,0.065,0.000,0.000
216000,0.186,0.013,0.000,0.000
218700,0.178,0.506,0.000,0.000
221400,0.193,0.049,0.000,0.000
224100,0.182,0.009,0.000,0.000
226800,0.185,0.027,0.000,0.000
229500,0.200,0.127,0.000,0.000
232200,0.198,0.000,0.000,0.000
234900,0.195,0.049,0.000,0.000
237600,0.196,0.061,0.000,0.000
240300,0.189,0.334,0.000,0.000
243000,0.179,0.021,0.000,0.000
245700,0.185,0.020,0.000,0.000
248400,0.190,0.040,0.000,0.000
251100,0.187,0.169,0.000,0.000
253800,0.183,0.012,0.000,0.000
256500,0.473,0.028,0.000,0.000
259200,0.188,0.000,0.000,0.000
261900,0.184,0.369,0.000,0.000
264600,0.192,0.009,0.000,0.000
267300,0.178,0.022,0.000,0.000
270000,0.190,0.017,0.000,0.000
272700,0.182,0.118,0.000,0.000
275400,0.188,0.035,0.000,0.000
278100,0.180,0.044,0.000,0.000
280800,0.183,0.019,0.000,0.000
283500,0.182,0.494,0.000,0.000
286200,0.184,0.013,0.000,0.000
288900,0.191,0.035,0.000,0.000
291600,0.182,0.066,0.000,0.000
294300,0.183,0.131,0.000,0.000
297000,0.180,0.057,0.000,0.000
299700,0.187,0.017,0.000,0.000
302400,0.185,0.008,0.000,0.000
305100,0.202,0.502,0.000,0.000
307800,0.190,0.000,0.000,0.000
310500,0.202,0.026,0.000,0.000
313200,0.209,0.000,0.000,0.000
315900,0.204,0.119,0.000,0.000
318600,0.206,0.000,0.000,0.000
321300,0.190,0.012,0.000,0.000
324000,0.204,0.013,0.000,0.000
326700,0.179,0.475,0.000,0.000
329400,0.180,0.020,0.000,0.000
332100,0.184,0.029,0.000,0.000
334800,0.176,0.012,0.000,0.000
337500,0.185,0.137,0.000,0.000
340200,0.184,0.012,0.000,0.000
342900,0.440,0.048,0.000,0.000
345600,0.184,0.000,0.000,0.000
348300,0.192,0.493,0.000,0.000
351000,0.182,0.003,0.000,0.000
353700,0.190,0.027,0.000,0.000
356400,0.192,0.006,0.000,0.000
359100,0.202,0.127,0.000,0.000
361800,0.184,0.000,0.000,0.000
364500,0.195,0.073,0.000,0.000
