,Component,Waiting,Interpolation,Sending
12600,0.000,0.000,0.001,0.000
13500,2.218,0.000,0.000,0.000
15300,0.000,0.000,0.001,0.000
16200,2.225,0.000,0.000,0.000
18000,0.000,0.000,0.001,0.000
18900,2.206,0.000,0.000,0.000
20700,0.000,0.000,0.001,0.000
21600,2.166,0.000,0.000,0.000
23400,0.000,0.000,0.001,0.000
24300,2.462,0.000,0.000,0.000
26100,0.000,0.000,0.001,0.000
27000,2.271,0.000,0.000,0.000
28800,0.021,0.000,0.002,0.000
29700,2.357,0.000,0.000,0.000
31500,0.000,0.000,0.001,0.000
32400,2.236,0.000,0.000,0.000
34200,0.003,0.000,0.001,0.000
35100,2.173,0.000,0.000,0.000
36900,0.000,0.000,0.001,0.000
37800,2.126,0.000,0.000,0.000
39600,0.000,0.000,0.001,0.000
40500,2.381,0.000,0.000,0.000
42300,0.000,0.000,0.001,0.000
43200,2.208,0.000,0.000,0.000
45000,0.000,0.000,0.001,0.000
45900,2.157,0.202,0.000,0.000
47700,0.000,0.000,0.001,0.000
48600,2.150,0.000,0.000,0.000
50400,0.001,0.000,0.001,0.000
51300,2.154,0.000,0.000,0.000
53100,0.000,0.000,0.001,0.000
54000,2.274,0.000,0.000,0.000
55800,0.000,0.000,0.001,0.000
56700,2.147,0.000,0.000,0.000
58500,0.000,0.000,0.001,0.000
59400,2.160,0.003,0.000,0.000
61200,0.000,0.000,0.001,0.000
62100,2.150,0.000,0.000,0.000
63900,0.001,0.000,0.001,0.000
64800,2.223,0.000,0.000,0.000
66600,0.000,0.000,0.001,0.000
67500,2.186,0.153,0.000,0.000
69300,0.000,0.000,0.001,0.000
70200,2.146,0.000,0.000,0.000
72000,0.001,0.000,0.001,0.000
72900,2.130,0.000,0.000,0.000
74700,0.000,0.000,0.001,0.000
75600,2.156,0.000,0.000,0.000
77400,0.000,0.000,0.001,0.000
78300,2.305,0.000,0.000,0.000
80100,0.000,0.000,0.001,0.000
81000,2.273,0.190,0.000,0.000
82800,0.000,0.000,0.001,0.000
83700,2.273,0.000,0.000,0.000
85500,0.002,0.000,0.001,0.000
86400,2.269,0.000,0.000,0.000
88200,0.000,0.000,0.001,0.000
89100,2.235,0.147,0.000,0.000
90900,0.000,0.000,0.001,0.000
91800,2.198,0.000,0.000,0.000
93600,0.000,0.000,0.001,0.000
94500,2.140,0.000,0.000,0.000
96300,0.000,0.000,0.001,0.000
97200,2.190,0.000,0.000,0.000
99000,0.000,0.000,0.001,0.000
99900,2.240,0.000,0.000,0.000
101700,0.000,0.000,0.001,0.000
102600,2.271,0.000,0.000,0.000
104400,0.000,0.000,0.001,0.000
105300,2.184,0.000,0.000,0.000
107100,0.000,0.000,0.001,0.000
108000,2.140,0.000,0.000,0.000
109800,0.001,0.000,0.001,0.000
110700,2.150,0.177,0.000,0.000
112500,0.000,0.000,0.001,0.000
113400,2.361,0.000,0.000,0.000
115200,0.000,0.000,0.001,0.000
116100,2.177,0.000,0.000,0.000
117900,0.000,0.000,0.001,0.000
118800,2.120,0.000,0.000,0.000
120600,0.000,0.000,0.001,0.000
121500,2.163,0.000,0.000,0.000
123300,0.000,0.000,0.001,0.000
124200,2.170,0.000,0.000,0.000
126000,0.001,0.000,0.001,0.000
126900,2.258,0.000,0.000,0.000
128700,0.000,0.000,0.001,0.000
129600,2.139,0.000,0.000,0.000
131400,0.000,0.000,0.001,0.000
132300,2.180,0.239,0.000,0.000
134100,0.003,0.000,0.001,0.000
135000,2.159,0.000,0.000,0.000
136800,0.000,0.000,0.001,0.000
137700,2.208,0.000,0.000,0.000
139500,0.001,0.000,0.001,0.000
140400,2.196,0.000,0.000,0.000
142200,0.000,0.000,0.001,0.000
143100,2.157,0.000,0.000,0.000
144900,0.000,0.000,0.001,0.000
145800,2.132,0.000,0.000,0.000
147600,0.000,0.000,0.001,0.000
148500,2.220,0.000,0.000,0.000
150300,0.009,0.000,0.002,0.000
151200,2.267,0.000,0.000,0.000
153000,0.000,0.000,0.001,0.000
153900,2.210,0.127,0.000,0.000
155700,0.000,0.000,0.001,0.000
156600,2.236,0.000,0.000,0.000
158400,0.000,0.000,0.001,0.000
159300,2.276,0.000,0.000,0.000
161100,0.000,0.000,0.001,0.000
162000,2.216,0.000,0.000,0.000
163800,0.000,0.000,0.001,0.000
164700,2.184,0.000,0.000,0.000
166500,0.009,0.000,0.001,0.000
167400,2.190,0.000,0.000,0.000
169200,0.000,0.000,0.001,0.000
170100,2.218,0.000,0.000,0.000
171900,0.000,0.000,0.001,0.000
172800,2.275,0.000,0.000,0.000
174600,0.001,0.000,0.001,0.000
175500,2.297,0.030,0.000,0.000
177300,0.000,0.000,0.001,0.000
178200,2.190,0.000,0.000,0.000
180000,0.000,0.000,0.001,0.000
180900,2.132,0.000,0.000,0.000
182700,0.000,0.000,0.001,0.000
183600,,,,
